
╔════════════════════════════════════════════════════════════╗
║  SEC Crypto ETF Tracker Server                             ║
║  ──────────────────────────────────────────────────────── ║
║  🌐 Server running at: http://localhost:3000              ║
║  📊 API endpoint: http://localhost:3000/api/etf-applications║
║  🔍 Data source: SEC EDGAR (data.sec.gov)                  ║
╚════════════════════════════════════════════════════════════╝
    
[Request] GET /api/sync-progress
🔄 Starting background sync...
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/all-etf-applications
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
✅ Background sync complete. Known: 49, Discovered: 7
[Request] GET /api/sync-progress
[Request] GET /api/all-etf-applications
[Request] GET /api/sync-progress
[Request] GET /api/all-etf-applications
[Request] GET /api/sync-progress
[Request] GET /api/all-etf-applications
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /
[Request] GET /app.js
[Request] GET /styles.css
[Request] GET /api/all-etf-applications
[Request] GET /favicon.ico
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
[Request] GET /api/sync-progress
